2和暦,3西暦コード,4タイトル,5版種類,6数量,7書誌事項,8形態分類,9内容分類,10地名,12目録番号,16所蔵機関（名称）,年号,閏,月,日
安政5年,18580099099,〔京四条通御旅町南神吉屋新之助万金道具類引札〕,木版,１枚,23.2×15.5　武力茶入、弁当、水さし、ゆわかし、薬くわん、てつびん、の風路、茶ぼん等,Ｗ,7,京都,16-A00-6010-2-44,東京大学総合図書館-A00-6010-2-44,安政５,,,
安政5年,18580099099,新鐫大日本諸国名河大川見立角力,銅版,１枚,9.5×15.5　１３０番、中形、い印,,15,京都,16-A00-6010-2-45,東京大学総合図書館-A00-6010-2-45,安政５,,,
安政5年,18580099099,花洛西廓嶋原大門口夕景,銅版,１枚,9.5×15.4　梅川夏北刻,,13,京都,16-A00-6010-2-46,東京大学総合図書館-A00-6010-2-46,安政５,,,
安政5年,18580099099,中仙道加納宿諸国定宿紙屋源助店引札,木版,１枚,14.0×37.0,Ｗ,7,美濃,16-A00-6010-2-47,東京大学総合図書館-A00-6010-2-47,安政５,,,
安政5年,18580099099,近江国琵琶湖八景,銅版,１枚,9.3×13.5,,9,近江,16-A00-6010-2-48,東京大学総合図書館-A00-6010-2-48,安政５,,,
安政5年,18580099099,大日本輿地略図・諸国参詣所・摂州大阪ヨリ道法附,銅版,１枚,9.4×15.3　平安春灯斎鐫、１２５番、中形、天印、い印,,15,京都,16-A00-6010-2-49,東京大学総合図書館-A00-6010-2-49,安政５,,,
安政5年,18580099099,祢津甚平由来記,木版,１枚,14.0×40.2　信州小県の武士、化鳥退治を命じられ、美濃国恵那郡大井村で死すとの伝説,,9,美濃・信濃,16-A00-6010-2-50,東京大学総合図書館-A00-6010-2-50,安政５,,,
安政期,18590299099,義士姓名録,銅版,１枚,9.3×15.3　中形とあり、「義党達本望引取泉岳寺之図」とあり、春灯（画）,,14,播磨,16-A00-6010-2-51,東京大学総合図書館-A00-6010-2-51,安政期,,,
安政5年,18580099099,芳野山風景全覧之図,銅版,１枚,9.3×15.5　中形とあり、春灯画鐫,,9,大和,16-A00-6010-2-52,東京大学総合図書館-A00-6010-2-52,安政５,,,
安政5年,18580099099,〔諸名薬出所名古屋伊勢町４丁目医師加藤源兵門販売諸薬引札〕,木版,１枚,14.0×15.5　田宮うけ合薬、黄胖之妙薬、いぼふすべほくろ魚の目取薬、ひぜん手の平薬、朔日丸、たびやみの薬、わきがの妙薬、せんきせんしゆくの妙薬、たいどくくさけの妙薬とあり,Ｗ,3,尾張,16-A00-6010-2-53,東京大学総合図書館-A00-6010-2-53,安政５,,,
安政5年,18580099099,大日本豊秋津洲略全図,銅版,１枚,9.2×15.0　妙義山、奥州芭蕉之辻、長州下関、壹之碑の図あり,,15,京都,16-A00-6010-2-54,東京大学総合図書館-A00-6010-2-54,安政５,,,
安政5年,18580099099,新鐫西国三十三番順礼札所観世音御詠歌風景道法附,銅版,１枚,9.1×14.1　平安春灯画図銅刻、寅１４３番、天印、広形、い印,,9,京都,16-A00-6010-2-55,東京大学総合図書館-A00-6010-2-55,安政５,,,
安政5年,18580099099,〔名古屋門前町もみの木上ル綿屋文七店大安売引札〕,木版,１枚,14.5×19.5　結城桟留并呉服太物ゑり袖口品々,Ｗ,7,尾張,16-A00-6010-2-56,東京大学総合図書館-A00-6010-2-56,安政５,,,
安政5年,18580099099,〔寒製墨引札〕,木版,１枚,14.0×11.5　南都御墨司西村出雲掾,Ｗ,7,大和,16-A00-6010-2-57,東京大学総合図書館-A00-6010-2-57,安政５,,,
安政5年,18580099099,淡海日吉山二の宮拝殿所掲三十六俳仙,銅版,１枚,9.5×13.0　平安梅川夏北写并銅刻、３６人の俳人の名と句あり,,10,近江,16-A00-6010-2-58,東京大学総合図書館-A00-6010-2-58,安政５,,,
安政5年,18580099099,摂州四天王寺之図,銅版,１枚,9.2×15.4　春灯斎図鐫、寅１４１番、天印、中形、い印,,9,摂津,16-A00-6010-2-59,東京大学総合図書館-A00-6010-2-59,安政５,,,
安政5年11月25日,18580011025,〔名古屋魚の棚筋伊勢町東へ入野村屋正之助酒店開店口演〕,木版,１枚,14.4×13.2　花盛り１升２匁５分、沢の鶴１升２匁２分、並酒１升１８０文,Ｗ,7,尾張,16-A00-6010-2-60,東京大学総合図書館-A00-6010-2-60,安政５,,11,25
安政5年12月,18580012099,〔名古屋本町通末広町丸屋佐右衛門さとう類大安売引札〕,木版,１枚,14.5×17.8,Ｗ,7,尾張,16-A00-6010-2-61,東京大学総合図書館-A00-6010-2-61,安政５,,12,
安政5年,18580099099,養老千歳楼眺望,木版,１枚,27.0×9.7　湯の山千歳楼岡本喜十郎（梓）、他に四季景物、道のり、名物の記載あり,Ｗ,9,美濃,16-A00-6010-2-62,東京大学総合図書館-A00-6010-2-62,安政５,,,
安政5年1月,18580001099,芽子垣内月並兼題,木版,１枚,16.5×21.5　１月は早春雪、１２月は冬人事、毎月１８日,,10,尾張,16-A00-6010-2-63,東京大学総合図書館-A00-6010-2-63,安政５,,1,
慶応2年1月,18660001099,丙寅詩暦,木版,１枚,11.0×6.0　越堂（作）,θ,4,不明,16-A00-6010-2-64,東京大学総合図書館-A00-6010-2-64,慶応２,,1,
安政5年,18580099099,〔鳩居堂販売諸品引札〕,木版,１枚,24.0×31.0　京師妙小路寺町西鳩居堂主人熊釣コウ（王偏に黄）拝白、諸名家玩毫、董法草書、天朗、画筆、墨錠、臥龍、硯、印材、雑品、諸名家篆刻,Ｗ,,京都,16-A00-6010-2-65,東京大学総合図書館-A00-6010-2-65,安政５,,,
安政5年,18580099099,新鐫木曽街道六十九駅掌覧,銅版,１枚,8.0×13.0　銅画発販所平安岡田水月堂、絵は東叡山、日光山、身延山、善光寺,,7,京都,16-A00-6010-2-66,東京大学総合図書館-A00-6010-2-66,安政５,,,
安政5年,18580099099,三十六歌仙,銅版,１枚,9.5×13.0　３６歌仙の歌を銅刻したもの,,10,京都,16-A00-6010-2-67,東京大学総合図書館-A00-6010-2-67,安政５,,,
安政5年,18580099099,〔名古屋伝馬町七間町角浅草屋金七菓子安売引札〕,木版,１枚,15.5×20.4　「じるあめ、ぎやうせん其外あめいろいろ、御菓子るい品々」とあり,Ｗ,7,尾張,16-A00-6010-2-68,東京大学総合図書館-A00-6010-2-68,安政５,,,
安政5年,18580099099,〔名古屋ごふく町３丁目近江屋小ぎれ包売出引札〕,木版,１枚,14.5×10.3,Ｗ,7,尾張,16-A00-6010-2-69,東京大学総合図書館-A00-6010-2-69,安政５,,,
安政5年,18580099099,水于製牡蛎引札,木版,１枚,10.8×9.0　大極上々吉稀物、改細末正真、正味１斤入、かきがらの粉末は薬用となる、２－７３と対のものか？,Ｗ,3,不明,16-A00-6010-2-70,東京大学総合図書館-A00-6010-2-70,安政５,,,
安政5年,18580099099,〔名古屋末広町海老屋頼潔菓子所引札〕,木版,１枚,10.8×7.0,Ｗ,7,尾張,16-A00-6010-2-71,東京大学総合図書館-A00-6010-2-71,安政５,,,
安政5年,18580099099,諸病妙ふり出し引札,木版,２枚,10.6×8.6　あと１つは10.6×6.6、１枚は効能書、家伝調合所加賀領水橋市田文蔵製、妙ふり出し一貼３６銅,Ｗ,3,越中,16-A00-6010-2-72,東京大学総合図書館-A00-6010-2-72,安政５,,,
安政5年,18580099099,牡蛎効能,木版,１枚,13.1×13.7　「しやうかんおこりかんねつに用てよし」云々とあり、７０と対のものか？,Ｗ,3,不明,16-A00-6010-2-73,東京大学総合図書館-A00-6010-2-73,安政５,,,
安政5年8月12日,18580008012,〔名古屋広小路本町西え入料理屋柴吉店開店口演〕,木版,１枚,13.5×17.0　かしわん付コチ（魚偏に甬）御膳１００文、かしわん付ひき茶めし８０文、春日野膳３８文、三ツ丼１００文、重詰三ツ組３匁・５匁,Ｗ,7,尾張,16-A00-6010-2-74,東京大学総合図書館-A00-6010-2-74,安政５,,8,12
安政5年,18580099099,鳥枢沙摩明王真言,木版,１枚,18.6×10.0　潜龍窟白虎、「龍蛇之蟄以存身也、尺蠖之屈以求信也」とあり,,9,尾張？,16-A00-6010-2-75,東京大学総合図書館-A00-6010-2-75,安政５,,,
万延1年1月,18600001099,庚申ラ（草冠に瓜が２つ）庵題,木版,１枚,32.8×5.8　１月は都霞、１２月は神楽,,10,尾張？,16-A00-6010-2-76,東京大学総合図書館-A00-6010-2-76,万延１,,1,
安政5年,18580099099,軽粉引札,木版,１枚,11.4×5.5　伊勢射和釜元本根五郎兵衛製、大極上軽粉正味２０目入とあり,Ｗ,7,伊勢,16-A00-6010-2-77,東京大学総合図書館-A00-6010-2-77,安政５,,,
安政5年,18580099099,〔梵字教訓摺物〕,木版,１枚,18.4×10.0　「積善之家必有余慶、積不善之家必有余殃」、喜捨老龍、くわいらいしむねにかけたる人形箱仏出さうとおにをたそうと」,,9,尾張？,16-A00-6010-2-78,東京大学総合図書館-A00-6010-2-78,安政５,,,
安政5年,18580099099,名産御えだかき引札,木版,１枚,10.6×4.8　枝柿は美濃蜂屋村の名産,Ｗ,7,美濃,16-A00-6010-2-79,東京大学総合図書館-A00-6010-2-79,安政５,,,
安政5年,18580099099,美濃蜂屋村松徐園引札,木版,１枚,4.5×3.0,Ｗ,7,美濃,16-A00-6010-2-80,東京大学総合図書館-A00-6010-2-80,安政５,,,
安政5年,18580099099,〔俳句摺物〕,木版,１枚,19.6×17.5　楚喬改楚江、大巣の２俳人の句,,10,尾張？,16-A00-6010-2-81,東京大学総合図書館-A00-6010-2-81,安政５,,,
安政5年,18580099099,有職色目扇引札,木版,１枚,10.7×4.0　黄ぎく、松の雪等の商品名あり,Ｗ,7,尾張？,16-A00-6010-2-82,東京大学総合図書館-A00-6010-2-82,安政５,,,
安政5年,18580099099,〔神田新シ橋通駿河屋忠七新乾海苔所引札〕,木版,１枚,18.0×9.5　「御膳極改」とあり,Ｗ,7,江戸,16-A00-6010-2-83,東京大学総合図書館-A00-6010-2-83,安政５,,,
安政5年,18580099099,〔俳句摺物〕,木版,１枚,19.4×17.0　不転、紫石更宜后、卓池の３俳人の句,,10,尾張・三河,16-A00-6010-2-84,東京大学総合図書館-A00-6010-2-84,安政５,,,
安政5年,18580099099,〔浪華書肆河内屋喜兵衛名入飛脚図〕,木版,１枚,24.0×4.5,Ｗ,7,大阪,16-A00-6010-2-85,東京大学総合図書館-A00-6010-2-85,安政５,,,
安政5年,18580099099,〔名古屋羽根屋伊兵衛羽根売買所引札〕,木版,１枚,12.0×9.6　「羽根品々細工仕候」、「白鳥のわたけ有」等の語あり,Ｗ,7,尾張,16-A00-6010-2-86,東京大学総合図書館-A00-6010-2-86,安政５,,,
安政5年,18580099099,〔名古屋巾下押切町美濃屋三右衛門興米所引札〕,木版,１枚,11.6×9.8,Ｗ,7,尾張,16-A00-6010-2-87,東京大学総合図書館-A00-6010-2-87,安政５,,,
安政5年,18580099099,〔セメンシーナ丸・キナキナ・テリアカ・サフラン・アラビヤコム・マクネシア等引札〕,木版,１枚,16.5×26.8　名古屋京町七間丁東に入岡田屋宗助、翠松堂のもの,Ｗ,3,尾張,16-A00-6010-2-88,東京大学総合図書館-A00-6010-2-88,安政５,,,
安政5年,18580099099,しら梅引札,木版,１枚,16.5×4.3　まつ阪西町かず助製,Ｗ,7,伊勢,16-A00-6010-2-89,東京大学総合図書館-A00-6010-2-89,安政５,,,
安政5年,18580099099,しら玉引札,木版,１枚,6.0×3.3,Ｗ,7,尾張？,16-A00-6010-2-90,東京大学総合図書館-A00-6010-2-90,安政５,,,
安政5年,18580099099,〔五条町坂口柏屋新助茶菓子所引札〕,木版,１枚,5.7×4.3,Ｗ,7,大和,16-A00-6010-2-91,東京大学総合図書館-A00-6010-2-91,安政５,,,
安政5年,18580099099,〔熱田尾頭町錺屋治助店おこし引札〕,木版,１枚,7.5×3.7,Ｗ,7,尾張,16-A00-6010-2-92,東京大学総合図書館-A00-6010-2-92,安政５,,,
安政5年,18580099099,〔名古屋本町１丁目桔梗屋賀続菓子屋引札〕,木版,１枚,7.5×4.5,Ｗ,7,尾張,16-A00-6010-2-93,東京大学総合図書館-A00-6010-2-93,安政５,,,
安政5年,18580099099,生蝋燭引札,木版,１枚,7.1×10.5　大阪堺筋若徳仕入、無類巻掛、土用請合、清浄とあり,Ｗ,7,大阪,16-A00-6010-2-94,東京大学総合図書館-A00-6010-2-94,安政５,,,
安政5年,18580099099,〔勢州松坂西町１丁目宰屋太郎兵衛店引札〕,木版,１枚,7.5×4.8,Ｗ,7,伊勢,16-A00-6010-2-95,東京大学総合図書館-A00-6010-2-95,安政５,,,
安政5年,18580099099,〔名古屋伝馬町５丁目長崎町西え入袋物所柏屋正七店引札〕,木版,１枚,24.0×31.0　商品名あり,Ｗ,7,尾張,16-A00-6010-2-96,東京大学総合図書館-A00-6010-2-96,安政５,,,
安政5年,18580099099,鷹背紙引札,木版,１枚,16.0×15.5　９８は対か？,Ｗ,7,尾張？,16-A00-6010-2-97,東京大学総合図書館-A00-6010-2-97,安政５,,,
安政5年,18580099099,〔美濃高須上町駒野千太郎精製牋紙目録〕,木版,１枚,16.0×15.5　鷹背紙等２１種類の紙名あり、９７は対か？、金山堂とあり,Ｗ,7,美濃,16-A00-6010-2-98,東京大学総合図書館-A00-6010-2-98,安政５,,,
安政5年,18580099099,〔板鼻藤屋五左衛門引札〕,木版,１枚,7.7×2.7,Ｗ,7,上野,16-A00-6010-2-99,東京大学総合図書館-A00-6010-2-99,安政５,,,
安政5年,18580099099,極製洲浜引札,木版,１枚,7.7×3.4　すはまは菓子名,Ｗ,7,尾張？,16-A00-6010-2-100,東京大学総合図書館-A00-6010-2-100,安政５,,,
安政5年,18580099099,〔名古屋上門前町笹田屋新兵衛店引札〕,木版,１枚,4.0×2.8,Ｗ,7,尾張,16-A00-6010-2-101,東京大学総合図書館-A00-6010-2-101,安政５,,,
安政5年,18580099099,会津本生掛御蝋燭引札,木版,１枚,7.0×5.4　名古屋魚の棚筋鍛冶屋町角結城屋平八,Ｗ,7,尾張,16-A00-6010-2-102,東京大学総合図書館-A00-6010-2-102,安政５,,,
安政5年,18580099099,〔本みすや皇都福永範後藤原知定針司引札〕,木版,１枚,5.1×2.6　根元無類とあり,Ｗ,7,京都,16-A00-6010-2-103,東京大学総合図書館-A00-6010-2-103,安政５,,,
安政5年,18580099099,〔御油海老屋安左衛門旅宿引札〕,木版,１枚,6.8×2.0　東入口橋より五軒目、浪花講御定休所,Ｗ,7,三河,16-A00-6010-2-104,東京大学総合図書館-A00-6010-2-104,安政５,,,
安政5年,18580099099,〔名古屋本町通門前町氷室屋老続菓子引札〕,木版,１枚,6.4×3.8,Ｗ,7,尾張,16-A00-6010-2-105,東京大学総合図書館-A00-6010-2-105,安政５,,,
安政5年,18580099099,〔丹州亀山西町並河善助製煙草所引札〕,木版,１枚,6.3×5.1,Ｗ,7,丹波,16-A00-6010-2-106,東京大学総合図書館-A00-6010-2-106,安政５,,,
安政5年,18580099099,〔伊勢菰野茶栄軒茶木屋伊兵衛製茶銘目録〕,木版,１枚,24.0×31.0　煎茶２００目に付、花橘１６匁、寿キ１５匁、老楽１４匁、正喜撰１２匁、喜撰１０匁、山吹８匁、山本山６匁、一森６匁、玉喜撰６匁５分、森の葉４匁５分、ヤドリ木４匁、御徳用向青花粉３匁、川柳２匁５分、飛葉２匁,Ｗ,7,伊勢,16-A00-6010-2-107,東京大学総合図書館-A00-6010-2-107,安政５,,,
安政5年,18580099099,錦袋円引札,木版,１枚,11.5×11.5　御薬所尾州名古屋本町６丁目小見山宗法、「きつけ」とあり,Ｗ,7,尾張,16-A00-6010-2-108,東京大学総合図書館-A00-6010-2-108,安政５,,,
安政5年,18580099099,〔名古屋巾下押切町菱屋佐平興米所引札〕,木版,１枚,12.5×11.0,Ｗ,7,尾張,16-A00-6010-2-109,東京大学総合図書館-A00-6010-2-109,安政５,,,
安政5年,18580099099,しら梅引札,木版,２枚,24.0×4.2　あと１つは8.2×4.5、勢州松阪平生町須賀屋製、煉油の商品名、一枚には「まぎらわしい物が出廻っている」云々の注意書あり,Ｗ,7,伊勢,16-A00-6010-2-110,東京大学総合図書館-A00-6010-2-110,安政５,,,
安政5年,18580099099,〔ショウ（門がまえに昌の字）門外吊橋陳豫元堂発兌某品引札〕,木版,２枚,15.5×15.5　あと１つは8.5×11.0、字がうすくて読めず,Ｗ,7,中国,16-A00-6010-2-111,東京大学総合図書館-A00-6010-2-111,安政５,,,
文政1年,18180099099,雁の空序,木版,２枚,22.5×14.5　大鶴庵塊翁（作）、俳句集,,10,不明,16-A00-6010-2-112,東京大学総合図書館-A00-6010-2-112,文政１,,,
安政3年3月,18560003099,祖師御影序,木版,１枚,24.0×22.7　妙長山日誓（述）　当山安置の高祖大菩薩は文永１０年御在世の御自作なるを諏訪義宏・森高雅が写し、それを摸刻する云々,,9,不明,16-A00-6010-2-113,東京大学総合図書館-A00-6010-2-113,安政３,,3,
安政5年,18580099099,〔中山道みとの宿脇本陣みや川引札〕,木版,１枚,24.0×8.5　浪華講定宿、同講講元松屋甚四郎、発起人松尾源助,Ｗ,7,信濃,16-A00-6010-2-114,東京大学総合図書館-A00-6010-2-114,安政５,,,
安政5年,18580099099,肝凉円引札,木版,１枚,21.5×28.8　「小児１５才迄の内諸病一代根絶ス」とあり、本家京富小路通竹屋町東南角堀勝蔵、尾州売弘元店名古屋伝馬町札之辻東へ入紅屋善次良、取次店名１１あり,Ｗ,3,京都・尾張,16-A00-6010-2-115,東京大学総合図書館-A00-6010-2-115,安政５,,,
安政5年,18580099099,〔李□唐詩五言行書摺物〕,木版,１枚,18.2×20.2,,10,尾張？,16-A00-6010-2-116,東京大学総合図書館-A00-6010-2-116,安政５,,,
安政5年,18580099099,肝凉円引札,木版,２枚,13.0×10.6　あと１つは11.0×8.3、本家京都富小路通竹屋町東南角堀勝蔵,Ｗ,3,京都,16-A00-6010-2-117,東京大学総合図書館-A00-6010-2-117,安政５,,,
安政5年,18580099099,〔名古屋京町通本町角沢潟屋大信菓子引札〕,木版,１枚,5.6×4.6,Ｗ,7,尾張,16-A00-6010-2-118,東京大学総合図書館-A00-6010-2-118,安政５,,,
安政5年,18580099099,〔金山寺味噌引札〕,木版,１枚,5.6×6.2　左右の２行判読不能,Ｗ,7,不明,16-A00-6010-2-119,東京大学総合図書館-A00-6010-2-119,安政５,,,
安政5年,18580099099,白雪饅頭引札,木版,１枚,5.2×4.0　駿州谷田白雪園製,Ｗ,7,駿河,16-A00-6010-2-120,東京大学総合図書館-A00-6010-2-120,安政５,,,
安政5年,18580099099,〔長崎勝山町河本屋善蔵仕入正銘国分引札〕,木版,１枚,5.3×3.5,Ｗ,7,肥前,16-A00-6010-2-121,東京大学総合図書館-A00-6010-2-121,安政５,,,
安政5年,18580099099,〔中玄眉山７言絶句及び酔霞主人画摺物〕,木版,２枚,24.0×15.5,,10,尾張？,16-A00-6010-2-122,東京大学総合図書館-A00-6010-2-122,安政５,,,
天保11年,18400099099,神伝秘方そげぬき速康散引札,木版,１枚,15.8×31.0　京都本家西洞院通五条下ル町久保田氏製,Ｗ,3,京都,16-A00-6010-2-123,東京大学総合図書館-A00-6010-2-123,天保１１,,,
安政5年,18580099099,〔中山道深谷宿商人宿坂本与惣右衛門ようじ引札〕,木版,１枚,6.6×3.8,Ｗ,7,武蔵,16-A00-6010-2-124,東京大学総合図書館-A00-6010-2-124,安政５,,,
安政5年,18580099099,神方還生酒引札,木版,１枚,8.0×4.3　伊豫今治製造、江戸売弘店本町２丁目松屋広瀬,Ｗ,7,伊予・江戸,16-A00-6010-2-125,東京大学総合図書館-A00-6010-2-125,安政５,,,
安政5年,18580099099,蒲萄香引札,木版,１枚,6.1×7.4　甲州勝沼宿小□小右衛門（梓）,Ｗ,7,甲斐,16-A00-6010-2-126,東京大学総合図書館-A00-6010-2-126,安政５,,,
安政5年,18580099099,長生糖引札,木版,１枚,8.0×6.2,Ｗ,7,尾張？,16-A00-6010-2-127,東京大学総合図書館-A00-6010-2-127,安政５,,,
安政5年,18580099099,〔京御菓子司麹町５丁目二本加賀掾引札〕,木版,１枚,6.2×7.0,Ｗ,7,江戸,16-A00-6010-2-128,東京大学総合図書館-A00-6010-2-128,安政５,,,
万延1年3月25日,18600003025,博物会案内,木版,１枚,16.4×10.1　「庚申３月２５日於七寺為雀巣庵吉田先生追薦」とあり、金石・草木・鳥獣・魚虫・古物・奇物・漢洋諸舶来品,Ｗ,10,尾張,16-A00-6010-2-129,東京大学総合図書館-A00-6010-2-129,万延１,,3,25
万延1年3月15日,18600003015,薬品会案内,木版,１枚,16.4×6.4　「三月望」（朱筆）、修養堂,Ｗ,3,尾張,16-A00-6010-2-130,東京大学総合図書館-A00-6010-2-130,万延１,,3,15
安政5年,18580099099,〔名古屋鍛冶屋町藤屋伍兵衛仕入元結引札〕,木版,１枚,11.5×7.0,Ｗ,7,尾張,16-A00-6010-2-131,東京大学総合図書館-A00-6010-2-131,安政５,,,
安政5年,18580099099,〔名古屋本町６丁目かがみ屋正七煉油引札〕,木版,１枚,12.2×8.8,Ｗ,7,尾張,16-A00-6010-2-132,東京大学総合図書館-A00-6010-2-132,安政５,,,
安政5年,18580099099,〔三州足助本町白木屋太兵衛篠巻所引札〕,木版,１枚,7.0×5.0　極上本磨とあり,Ｗ,7,三河,16-A00-6010-2-133,東京大学総合図書館-A00-6010-2-133,安政５,,,
安政5年,18580099099,名物本家白酒引札,木版,１枚,6.4×3.7,Ｗ,7,尾張？,16-A00-6010-2-134,東京大学総合図書館-A00-6010-2-134,安政５,,,
安政5年,18580099099,御湯花引札,木版,１枚,6.7×6.0　信州諏訪湯本篠原丈左衛門、「ひぜんによし、切きづ、牛馬の負すれよし」とあり、山印の中に「渋山」とあり,Ｗ,3,信濃,16-A00-6010-2-135,東京大学総合図書館-A00-6010-2-135,安政５,,,
安政5年,18580099099,〔勧善懲悪忠孝物語興行案内〕,木版,１枚,11.8×15.2　常磐津寿和太夫、岸沢栄治、西川政二、西川富吉、西川照吉、西川米治、西川あい、新町今晩より大入,Ｗ,11,尾張,16-A00-6010-2-136,東京大学総合図書館-A00-6010-2-136,安政５,,,
文政期,18290299099,〔草木譜巻之二１６丁アセダラグ訳名センダン〕,木版,１枚,23.7×30.7　観象堂（吉雄俊蔵）罫紙,,10,尾張,16-A00-6010-2-137,東京大学総合図書館-A00-6010-2-137,文政期,,,
安政5年1月,18580001099,安政五年歳次戊午須弥界由旬暦略書,木版,１枚,15.2×15.8　張府中野友安,θ,4,尾張,16-A00-6010-2-138,東京大学総合図書館-A00-6010-2-138,安政５,,1,
安政5年,18580099099,堀川はえ引札,木版,２枚,6.2×7.6　あと１つは7.2×7.6、尾州名古屋袋町筋桑名町西え入寺角丸正、土産物、ふなみそ、しくれ、折曲物しなしなとあり,Ｗ,7,尾張,16-A00-6010-2-139,東京大学総合図書館-A00-6010-2-139,安政５,,,
嘉永2年,18490099099,桶狭間合戦縁記,木版,３丁,册子　表紙裏に絵図あり,,14,尾張,16-A00-6010-2-140,東京大学総合図書館-A00-6010-2-140,嘉永２,,,
安政4年5月,18570005099,理学入門包紙表紙,木版,１枚,23.2×16.0　安政四歳次丁巳仲夏翻刻、福島信夫古作蔵,,10,岩代,16-A00-6010-3-1,東京大学総合図書館-A00-6010-3-1,安政４,,5,
安政2年,18550099099,海国図志英吉利国部包紙表紙,木版,１枚,24.0×15.7　宕陰塩谷先生・逢谷箕作先生校、青藜閣発兌,,10,江戸,16-A00-6010-3-2,東京大学総合図書館-A00-6010-3-2,安政２,,,
安政6年,18590099099,〔京都三条通寺町西へ入北側丸屋善兵衛書物所引札〕,木版,１枚,23.7×9.3　古本売買とあり,Ｗ,7,京都,16-A00-6010-3-3,東京大学総合図書館-A00-6010-3-3,安政６,,,
安政6年,18590099099,〔名古屋本町８丁目菱屋平兵衛書物所引札〕,木版,１枚,23.7×6.0,Ｗ,7,名古屋,16-A00-6010-3-4,東京大学総合図書館-A00-6010-3-4,安政６,,,
安政6年,18590099099,マグネシア煎餅引札,木版,１枚,17.6×9.5　「御小児五疳虫おさへ、りういん腹痛等によし」とあり,Ｗ,3,尾張？,16-A00-6010-3-5,東京大学総合図書館-A00-6010-3-5,安政６,,,
安政6年,18590099099,〔教訓歌摺物〕,木版,１枚,18.0×6.0　清兼（作）、「秋の野にみのる草木をなかむれはすきぬる春にまきしたねたね」,,10,尾張？,16-A00-6010-3-6,東京大学総合図書館-A00-6010-3-6,安政６,,,
文久2年3月5日,18620003005,〔荒馬対アメリカ角力取勝負摺物〕,木版,１枚,23.5×31.0　アメリカ人ヤシチヤル、大関智不火となっているが、同人の大関昇進は文久２年２月のことなので、文久２年と推定、但し貼込帳は安政６年頃と思われるのが不審,,12,江戸,16-A00-6010-3-7,東京大学総合図書館-A00-6010-3-7,文久２,,3,5
万延1年閏3月,18600003599,〔よしこの集投稿案内〕,木版,１枚,16.0×14.4　夏季乱題、一組八句入、花３８穴、秀一半切、巻軸文袋、１０点の分景物、７点以上摺出し団扇に仕立、一統え呈上、京北梅舎文呉大人撰、巻元ナゴヤ楽遊軒枝蟻、閏３月２５日限締切、４月２０日に返草、届所岸沢柳加、勝見竹志庵、三井屋政五郎、江戸屋梅三郎、大,,11,京都・尾張,16-A00-6010-3-8,東京大学総合図書館-A00-6010-3-8,万延１,閏,閏３,
安政6年,18590099099,〔奥州国産捌所松島屋貞右衛門店引札〕,木版,１枚,10.2×10.2　赤坂表伝馬町１丁目,Ｗ,7,江戸,16-A00-6010-3-9,東京大学総合図書館-A00-6010-3-9,安政６,,,
万延1年1月,18600001099,〔安政七年庚申大小暦〕,木版,１枚,17.5×4.6　神皇臨宇、推古改暦、西暦あり、大小月を記す、柳河春三楊江の作、中空で、そこに「蔵六厳大父　不肖大介」と墨書あり,θ,4,江戸,16-A00-6010-3-10,東京大学総合図書館-A00-6010-3-10,万延１,,1,
安政6年,18590099099,大内香引札,木版,１枚,13.5×9.0　藤原保方製、「御所御上り」とあり、皇室紋章あり,Ｗ,7,京都,16-A00-6010-3-11,東京大学総合図書館-A00-6010-3-11,安政６,,,
安政6年,18590099099,御湯塩引札,木版,１枚,5.7×4.0　信州諏方湯本篠原丈左衛門、「第一大人しやくつかれ、小児虫一切によし、其外万病によし」とあり、山印の中に「渋山」とあり,Ｗ,3,信濃,16-A00-6010-3-12,東京大学総合図書館-A00-6010-3-12,安政６,,,
安政6年5月,18590005099,安政七年歳次庚申須弥界暦略書,木版,１枚,21.5×15.5　張府中野幸永謹撰、只頒同社、厳禁売買,θ,4,尾張,16-A00-6010-3-13,東京大学総合図書館-A00-6010-3-13,安政６,,5,
安政6年,18590099099,御免首より上妙薬う山引札,木版,１枚,23.5×15.5　一ぷく４８銅、本家大坂じゆんけい町中橋う山善七、売弘所名古屋本町７丁目ひしや伊右衛門,Ｗ,3,大阪・尾張,16-A00-6010-3-14,東京大学総合図書館-A00-6010-3-14,安政６,,,
安政6年,18590099099,〔名古屋本町通９丁目綿屋徳兵衛膳椀并寺方応量器類引札〕,木版,１枚,23.5×8.5,Ｗ,7,尾張,16-A00-6010-3-15,東京大学総合図書館-A00-6010-3-15,安政６,,,
安政6年,18590099099,仙積散引札,木版,１枚,13.5×21.8　本家京都衣棚竹屋町水月堂、尾州取次所名古屋本町２丁目雨口屋喜十郎,Ｗ,3,京都・尾張,16-A00-6010-3-16,東京大学総合図書館-A00-6010-3-16,安政６,,,
安政6年,18590099099,唐焼御艶白粉引札,木版,１枚,9.8×18.0　京ふや町通松原下ル町木田千賀麿藤原政方製,Ｗ,7,京都,16-A00-6010-3-17,東京大学総合図書館-A00-6010-3-17,安政６,,,
安政6年,18590099099,〔信州清内路板屋引札〕,木版,１枚,10.2×5.0　極上請合,Ｗ,7,信濃,16-A00-6010-3-18,東京大学総合図書館-A00-6010-3-18,安政６,,,
